address,input_count,total_btc_spent,avg_btc_per_input,first_spend,latest_spend
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,333,2.9849881209380613e+06,8963.928291105289,2025-12-12 16:09:54.000 UTC,2026-01-11 12:46:29.000 UTC
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,1969,1.44524307042853e+06,733.9985121526307,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
bc1prcs82tvrz70jk8u79uekwdfjhd0qhs2mva6e526arycu7fu25zsqhyztuy,286,1.2788307034442304e+06,4471.436026028778,2025-12-12 15:29:33.000 UTC,2026-01-11 01:27:33.000 UTC
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf,42344,572003.3215482,13.508485772440014,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,27708,536200.19934904,19.351818945757184,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
bc1q4vxcxw7mpg9dcryqu0kav8awrn7qk5e6wgs3hg,8365,336115.08934263,40.18112245578362,2025-12-12 14:46:06.000 UTC,2026-01-11 13:29:19.000 UTC
bc1qns9f7yfx3ry9lj6yz7c9er0vwa0ye2eklpzqfw,34953,312202.71555135003,8.932072083979916,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,1993,308321.0128000601,154.70196327148022,2025-12-12 14:38:20.000 UTC,2026-01-11 13:04:18.000 UTC
bc1qamgjuxaywqls56h7rg7afga3m6rgqwfkew688k,12409,276241.0221855898,22.261344361801097,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
bc1qwelntg7tpxwgmh7gea0kycclx87mksnvhaadgf,8140,263429.48492162,32.3623445849656,2025-12-12 14:38:20.000 UTC,2026-01-11 13:09:23.000 UTC
bc1qhtvsrdu6a8jddqjnudugvzhqwdg8kdyjf2yfl6,149,240440.68772506993,1613.6958907722815,2025-12-12 17:03:50.000 UTC,2026-01-11 11:40:18.000 UTC
bc1quhruqrghgcca950rvhtrg7cpd7u8k6svpzgzmrjy8xyukacl5lkq0r8l2d,7947,174925.63425517015,22.01153067260226,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,104,158077.4867372,1519.9758340115384,2025-12-15 08:35:10.000 UTC,2026-01-10 04:12:52.000 UTC
bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx,26843,140827.16043569002,5.246327177874679,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
bc1qwj4fajtya5dhtm8te2c2kdyd9cwq0gt8645zde,3097,140305.41323069,45.30365296438166,2025-12-12 14:38:20.000 UTC,2026-01-11 13:12:43.000 UTC
bc1qfpeps3wcmzk422hvm5jeq5lelnqlzznjwyfy69,15175,129844.48334019995,8.556473366734759,2025-12-12 14:38:20.000 UTC,2026-01-11 13:29:19.000 UTC
bc1qws342rlkhszh58rtn35zrw7w076puz83gkcufy,9,98650.00048494001,10961.111164993335,2025-12-26 15:47:29.000 UTC,2025-12-29 19:38:49.000 UTC
bc1qx5py8d59hwvwu8qhk2wt6jqg805rur3t5x76v4,966,95171.68764960999,98.52141578634574,2025-12-12 14:54:10.000 UTC,2026-01-11 13:09:23.000 UTC
1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72p,1860,90962.84908919994,48.904757574838676,2025-12-12 15:29:33.000 UTC,2026-01-11 13:04:18.000 UTC
bc1pt52j5s22a4ajyq58qj5sk3v6h6mnt7gdzjhfrl7gyw37zawskq2sd0ph0y,1651,84487.29049870999,51.173404299642634,2026-01-04 18:41:27.000 UTC,2026-01-07 19:58:01.000 UTC
