block_date,input_count,total_btc_spent,avg_btc,unique_addresses,coinbase_inputs
2026-01-11,575596,266261.7521272942,0.4625844379170359,191732,0
2026-01-10,1.090532e+06,512407.7759218044,0.46986954616811283,413540,0
2026-01-09,1.104575e+06,745667.2872680866,0.6750716676260884,461414,0
2026-01-08,1.019553e+06,651949.9516717745,0.6394468474633241,415487,0
2026-01-07,1.107273e+06,801738.3318650716,0.7240656386140288,433006,0
2026-01-06,925203,757856.987321999,0.8191250864102246,475686,0
2026-01-05,930616,847291.3857778863,0.9104629468845219,478084,0
2026-01-04,911468,658016.9119993013,0.7219308982863921,425389,0
2026-01-03,927425,610374.1556731394,0.6581385617954437,437552,0
2026-01-02,918817,814353.9986423212,0.8863070651090709,458696,0
2026-01-01,914600,604080.3324689333,0.6604858216367082,400426,0
2025-12-31,919941,974349.9219618192,1.0591439254928514,479789,0
2025-12-30,872829,858458.6791153604,0.9835359264132613,515463,0
2025-12-29,1.003563e+06,1.0356876439724328e+06,1.0320105902394099,469768,0
2025-12-28,909061,513496.6179713111,0.5648648638224619,386980,0
2025-12-27,858747,460709.1801909737,0.5364900025164264,389824,0
2025-12-26,929449,777530.6002544806,0.8365500422879368,405566,0
2025-12-25,946041,480129.8719562137,0.5075148666455405,377203,0
2025-12-24,1.224219e+06,764876.3127686055,0.6247871604415595,458823,0
2025-12-23,1.023148e+06,798655.2422971403,0.7805862321943065,471022,0
